,Statute,OffenseDescription,OffenseDescription2,OffenseType
101,08291 SMSM037751,Warrant,Warrant,FTA/Warrant
102,08291 SMSM037850,Warrant,Warrant,FTA/Warrant
103,08C01-1706-F5-000010,Warrant,Warrant,FTA/Warrant
104,09-010(1)-A,Disorderly conduct,Disorderly conduct,Public order offense
105,09-04,Disorderly conduct,Disorderly conduct,Public order offense
106,09-04 010-6,Disorderly conduct,Disorderly conduct,Public order offense
107,09-04 010(6),Consuming alcohol in public,Other public order offense,Public order offense
108,09-04 0106,Consuming alcohol in public,Other public order offense,Public order offense
109,09-04 421,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
110,09-04-010,Disorderly conduct,Disorderly conduct,Public order offense
111,09-04-010(6),Consuming alcohol in public,Other public order offense,Public order offense
112,09-04-0106,Consuming alcohol in public,Other public order offense,Public order offense
113,09-04/010-6,Consuming alcohol in public,Other public order offense,Public order offense
114,09-04/0106,Consuming alcohol in public,Other public order offense,Public order offense
115,09-04/421,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
116,09-21-010B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
117,09-40 010,Other offense,Other public order offense,Public order offense
118,09-40-250-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
119,09-40/010,Other offense,Other public order offense,Public order offense
120,09-60-080,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
121,0904 010(1),Disorderly conduct,Disorderly conduct,Public order offense
122,0904/010-1,Disorderly conduct,Disorderly conduct,Public order offense
123,0904/010(1),Disorderly conduct,Disorderly conduct,Public order offense
124,092620,Domestic battery,Domestic battery/aggravated domestic battery,Person offense
125,0930100,Domestic battery,Domestic battery/aggravated domestic battery,Person offense
126,0940,Violation of an order of protection,Violation of order of protection/no stalking,Person offense
127,0940170,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
128,09729591N,Warrant,Warrant,FTA/Warrant
129,09CF981,Warrant,Warrant,FTA/Warrant
130,1-1-145,Other offense,Other public order offense,Public order offense
131,1-1204-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
132,1-21-010,Other offense,Other public order offense,Public order offense
133,1-4-145,Failure to appear,Failure to appear,FTA/Warrant
134,1-4-145-A,Other offense,Other public order offense,Public order offense
135,1-4-145-A-B,Failure to appear,Failure to appear,FTA/Warrant
136,1-4-145A,Failure to appear,Failure to appear,FTA/Warrant
137,1-4-5/1.22,Resisting or obstructing a peace officer,Obstructing justice/resisting or obstructing peace officer,Public order offense
138,1-4-5/11-1204-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
139,1-4-5/11-804-B,Other offense,Other public order offense,Public order offense
140,1-4-5/110-3,Warrant,Warrant,FTA/Warrant
141,1-4-5/12-5-A,Reckless conduct,Other battery/assault/neglect,Person offense
142,1-4-5/12-503-C    TK-139-822,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
143,1-4-5/12-603.1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
144,1-4-5/12-603.1   TH 474-746,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
145,1-4-5/16-25-A-1,Retail theft,Retail theft,Propert offense
146,1-4-5/3-701-1,Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
147,1-4-5/3-701-1    TK016330,Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
148,1-4-5/3-707,Insurance fraud,Other fraud offenses,Propert offense
149,1-4-5/3-707    TN-339-128,Insurance fraud,Other fraud offenses,Propert offense
150,1-4-5/32-10-A,Violation of bail bond,Other public order offense,Public order offense
151,1-4-5/6-101,Driving without a license,Other vehicle-related offense,DUI/vehicle offense
152,1-4-5/6-101     TN-276-106,Driving without a license,Other vehicle-related offense,DUI/vehicle offense
153,1-4-5/6-101    TK-242-285,Driving without a license,Other vehicle-related offense,DUI/vehicle offense
154,1-4-5/6-101    TK201-364,Driving without a license,Other vehicle-related offense,DUI/vehicle offense
155,1-4-5/6-303-A,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
156,1-4-5/6-303-A   TH 134-551,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
157,1-4-5/6-303-A   TK-050-435,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
158,1-4-550/4-A,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
159,1-4-550/4-B,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
160,1-4-550/4-C,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
161,1-4-570/401-C-2,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
162,1-502-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
163,1-503,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
164,10 8 515,Other offense,Other public order offense,Public order offense
165,10 ILCS 5.0/29-11,Other offense,Other public order offense,Public order offense
166,10--104/4,Other offense,Other public order offense,Public order offense
167,10--5/1.22,Resisting or obstructing a peace officer,Obstructing justice/resisting or obstructing peace officer,Public order offense
168,10--5/12-1-A,Warrant,Warrant,FTA/Warrant
169,10--5/12-2-B-4,Battery,Battery/aggravated battery/henious battery,Person offense
170,10--5/12-2-B-7,Aggravated assault,Assault/aggravated assault,Person offense
171,10--5/12-3-A-1,Battery,Battery/aggravated battery/henious battery,Person offense
172,10--5/12-3-A-2,Battery,Battery/aggravated battery/henious battery,Person offense
173,10--5/12-3.4-A-1,Violation of an order of protection,Violation of order of protection/no stalking,Person offense
174,10--5/12-5-A,Reckless conduct,Other battery/assault/neglect,Person offense
175,10--5/16-2,Theft,Theft,Propert offense
176,10--5/16-3-A,Theft,Theft,Propert offense
177,10--5/18-2-A-1,Armed robbery,Armed robbery,Person offense
178,10--5/21-1-A-1,Criminal damage to property,Criminal damage to property/institutional vandalism,Propert offense
179,10--5/21-3-A-1,Criminal trespass to real property,Criminal trespass to a residence/property,Propert offense
180,10--5/21-3-A-2,Criminal trespass to real property,Criminal trespass to a residence/property,Propert offense
181,10--5/21-5-A,Reckless conduct,Other battery/assault/neglect,Person offense
182,10--5/25-5-A-4,Probation or parole violation,Other public order offense,Public order offense
183,10--5/31-1-A,Resisting or obstructing a peace officer,Obstructing justice/resisting or obstructing peace officer,Public order offense
184,10--5/31-4.5-A,Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
185,10--5/32-10-A,Violation of bail bond,Other public order offense,Public order offense
186,10--5/4-104-A-4,Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
187,10--550/4-A,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
188,10--550/4-B,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
189,10--550/4-C,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
190,10--550/5-A,Manufacture/delivery of cannabis,Manufacture/delivery of cannabis/controlled substance,Drug offense
191,10--550/5-B,Manufacture/delivery of cannabis,Manufacture/delivery of cannabis/controlled substance,Drug offense
192,10--550/5-C,Manufacture/delivery of cannabis,Manufacture/delivery of cannabis/controlled substance,Drug offense
193,10--570/401.5-A-5,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
194,10--570/402-C,Possession of a controlled substance,Possession of cannabis/controlled substance,Drug offense
195,10--570/407-B-1,Manufacture/delivery of a controlled substance,Manufacture/delivery of cannabis/controlled substance,Drug offense
196,10--600/3.5-A,Possession/sale of drug paraphernalia,Other drug offense,Drug offense
197,10--8-526,Other offense,Other public order offense,Public order offense
198,10-0401,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
199,10-08-480,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
200,10-1-9-8,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
201,10-10,Consuming alcohol in public,Other public order offense,Public order offense
202,10-10-23,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
203,10-10-4-4,Truancy/curfew,Other public order offense,Public order offense
204,10-12-610.2B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
205,10-2-526,Criminal trespass to restricted areas,Criminal trespass to a residence/property,Propert offense
206,10-2-7B/L1305577,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
207,10-2(5)/ L-412-189,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense
208,10-23,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
209,10-28-070,Other offense,Other public order offense,Public order offense
210,10-3-707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
211,10-36-020,Cruelty or harm to animals,Other public order offense,Public order offense
212,10-36-050,Other offense,Other public order offense,Public order offense
213,10-36-100,Other offense,Other public order offense,Public order offense
214,10-36-110,Other offense,Other public order offense,Public order offense
215,10-36-120,Truancy/curfew,Other public order offense,Public order offense
216,10-36-130,Other offense,Other public order offense,Public order offense
217,10-36-185,Other offense,Other public order offense,Public order offense
218,10-36-185   VIOL. PARK DI,Other offense,Other public order offense,Public order offense
219,10-36-185 - VIOL. PARK DI,Other offense,Other public order offense,Public order offense
220,10-36-185 - VOIL. PARK DI,Other offense,Other public order offense,Public order offense
221,10-36-185 -VIOL. PARK,Other offense,Other public order offense,Public order offense
222,10-36-185 CH VII B2,Other offense,Other public order offense,Public order offense
223,10-36-185 RULE VII.B.7,Consuming alcohol in public,Other public order offense,Public order offense
224,10-36-185 VIOL PARK DISTCH VII B,Other offense,Other public order offense,Public order offense
225,10-36-185-B.2,Other offense,Other public order offense,Public order offense
226,10-36-185-CH-VII.B.5(C),Other offense,Other public order offense,Public order offense
227,10-36-185-VIO.PARK DIST. CODE CH,Other offense,Other public order offense,Public order offense
228,10-36-185-VIOL PARK DI,Other offense,Other public order offense,Public order offense
229,10-36-185-VIOL PARK DIST CO,Other offense,Other public order offense,Public order offense
230,10-36-185-VIOL. PARK DI,Other offense,Other public order offense,Public order offense
231,10-36-185CH.VIIB.7,Consuming alcohol in public,Other public order offense,Public order offense
232,10-36-185VII-B-7,Consuming alcohol in public,Other public order offense,Public order offense
233,10-36-400,Other offense,Other public order offense,Public order offense
234,10-4-3,Other offense,Other public order offense,Public order offense
235,10-4-3-2,Other offense,Other public order offense,Public order offense
236,10-4-3-3,Other offense,Other public order offense,Public order offense
237,10-4-4,Truancy/curfew,Other public order offense,Public order offense
238,10-5 / 29-20(4),Other offense,Other public order offense,Public order offense
239,10-5 7/L1305046,Criminal damage to property,Criminal damage to property/institutional vandalism,Propert offense
240,10-5-1-1B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
241,10-5-11,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
242,10-5-11-B,Other offense,Other public order offense,Public order offense
243,10-5-2,Other offense,Other public order offense,Public order offense
244,10-5-2-D-1,Other offense,Other public order offense,Public order offense
245,10-5-2-D-2,Other offense,Other public order offense,Public order offense
246,10-5-20-A,Harassment,Perjury/communicating or harrassing witnesses/contempt,Public order offense
247,10-5-2D,Other offense,Other public order offense,Public order offense
248,10-5-3,Consuming alcohol in public,Other public order offense,Public order offense
249,10-5-3-A,Consuming alcohol in public,Other public order offense,Public order offense
250,10-5-3-B,Consuming alcohol in public,Other public order offense,Public order offense
251,10-5-3A,Consuming alcohol in public,Other public order offense,Public order offense
252,10-5-515,Other offense,Other public order offense,Public order offense
253,10-5-515-A,Other offense,Other public order offense,Public order offense
254,10-5-526,Other offense,Other public order offense,Public order offense
255,10-5-6-2-B3,Public indecency,Other sex offense,Person offense
256,10-5-7-1,Criminal damage to government property,Criminal damage to property/institutional vandalism,Propert offense
257,10-5-7-1-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
258,10-5-7-1-E,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
259,10-5-7-1B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
260,10-5-7-1E,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
261,10-5-7-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
262,10-5-8-3-D,Unlawful possession of firearms and firearms ammunition,Unlawful possession/purchase of firearms and firearms ammunition,Weapon offense
263,10-5-8-A,Other offense,Other public order offense,Public order offense
264,10-5/29-20(4),Other offense,Other public order offense,Public order offense
265,10-5/7-1-E,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
266,10-5/9-35(D),Other offense,Other public order offense,Public order offense
267,10-52/80,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
268,10-7-2,Other offense,Other public order offense,Public order offense
269,10-8-080,Other offense,Other public order offense,Public order offense
270,10-8-320,Other offense,Other public order offense,Public order offense
271,10-8-330,Other offense,Other public order offense,Public order offense
272,10-8-334(D),Other offense,Other public order offense,Public order offense
273,10-8-334(E),Other offense,Other public order offense,Public order offense
274,10-8-335,Other offense,Other public order offense,Public order offense
275,10-8-402,Other offense,Other public order offense,Public order offense
276,10-8-480,Other offense,Other public order offense,Public order offense
277,10-8-480-C,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
278,10-8-480(C),Other offense,Other public order offense,Public order offense
279,10-8-490,Other offense,Other public order offense,Public order offense
280,10-8-500,Other offense,Other public order offense,Public order offense
281,10-8-505,Other offense,Other public order offense,Public order offense
282,10-8-51-A,Other offense,Other public order offense,Public order offense
283,10-8-510,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
284,10-8-510-A,Other offense,Other public order offense,Public order offense
285,10-8-510(A),Other offense,Other public order offense,Public order offense
286,10-8-515,Other offense,Other public order offense,Public order offense
287,10-8-515 -A,Other offense,Other public order offense,Public order offense
288,10-8-515 (A),Other offense,Other public order offense,Public order offense
289,10-8-515 / 32-32,Other offense,Other public order offense,Public order offense
290,10-8-515 A,Other offense,Other public order offense,Public order offense
291,10-8-515-4,Other offense,Other public order offense,Public order offense
292,10-8-515-9,Other offense,Other public order offense,Public order offense
293,10-8-515-A,Other offense,Other public order offense,Public order offense
294,10-8-515-B,Other offense,Other public order offense,Public order offense
295,10-8-515-C,Other offense,Other public order offense,Public order offense
296,10-8-515.9,Other offense,Other public order offense,Public order offense
297,10-8-515(A),Other offense,Other public order offense,Public order offense
298,10-8-515A,Other offense,Other public order offense,Public order offense
299,10-8-515A5,Other offense,Other public order offense,Public order offense
300,10-8-520,Other offense,Other public order offense,Public order offense
301,10-8-525,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
302,10-8-526,Other offense,Other public order offense,Public order offense
303,10-8-526 (016-110-1.30),Other offense,Other public order offense,Public order offense
304,10-8-526 (98-126-1.8),Other offense,Other public order offense,Public order offense
305,10-8-526(016-110-1.30),Other offense,Other public order offense,Public order offense
306,10-8-526(98-126-1.6(A)),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
307,10-8-526/98-126-1.6A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
308,10-8-526/98-126-1.8,Other offense,Other public order offense,Public order offense
309,10-8-526/98-126-2.1,Other offense,Other public order offense,Public order offense
310,10-8-526/98-126-2.16A,Other offense,Other public order offense,Public order offense
311,10-9,Other offense,Other public order offense,Public order offense
312,10-9-4-J,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
313,10-9-5-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
314,10-9-5(B),Other offense,Other public order offense,Public order offense
315,10-9-5B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
316,10-9-7,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
317,10.24.090,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
318,10/10-4-4,Truancy/curfew,Other public order offense,Public order offense
319,10/5/7/1/B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
320,1000332,Other offense,Other public order offense,Public order offense
321,1014000,Theft,Theft,Propert offense
322,105 5/26-1,Other offense,Other public order offense,Public order offense
323,105 ILCS 5.0/26-10,Other offense,Other public order offense,Public order offense
324,105-5/10-20.12B-F,Other offense,Other public order offense,Public order offense
325,105-5/26-1,Other offense,Other public order offense,Public order offense
326,105-5/26-1-A-1,Other offense,Other public order offense,Public order offense
327,105-5/26-10,Other offense,Other public order offense,Public order offense
328,105-5/26-11,Other offense,Other public order offense,Public order offense
329,105-5/6-303(A),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
330,105/4,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
331,106 11-503,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
332,106 11-601(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
333,106 11-709,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
334,106-11-501A2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
335,106-11-804,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
336,106-11-902,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
337,106-11-903,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
338,106-12-603.1(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
339,106-3-413F,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
340,106-3-707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
341,106-39 5/3-413A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
342,106-39 98-007,Other offense,Other public order offense,Public order offense
343,106-5/11-601(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
344,106-5/11-601A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
345,106-5/11-701(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
346,106-5/3-413(G),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
347,106-5/3-707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
348,106-6-303,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
349,106-98,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
350,10CF1072,Warrant,Warrant,FTA/Warrant
351,11 1204-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
352,11 202 A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
353,11 204A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
354,11 305(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
355,11 501 A 4,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
356,11 501 A 5,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
357,11 501 A 6,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
358,11 501 A2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
359,11 501 A6,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
360,11 501-A-2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
361,11 501(A)(1),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
362,11 501(A)(2),DUI,DUI,DUI/vehicle offense
363,11 501A2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
364,11 502,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
